premise_name,premise_city,premise_address1,premise_address2,premise_zip,premi se_state,premise_phone,geolocation
BROWN CHAPEL,DURAHM,2420 SUNDIAL CIRCLE,,27704,NC,,36.036599; -78.863009
CAJUN CAFE AND GRILL,DURHAM,1058 W CLUB BLVD. SUITE 548,,27701,NC,(917) 302-7977,36.018111; -78.9102149
LASHE LOVE,DURHAM,4711 HOPE VALLEY RD,,27707,NC,(919) 452-2890,35.9207272; -78.9573299
"RAPHA HEALTHCARE SERVICES, LLC",DURHAM,4004 BEN FRANKLIN BLVD.,,27704,NC,(919) 471-5474,36.044167; -78.8975449
BRIGHT BEGINNINGS CHILD CARE,DURHAM,216 DAVIDSON AVE,,27704,NC,(919) 484-1888,36.0182259; -78.888614
RECOVERY CONNECTIONS OF DURHAM III,DURHAM,2016 COOK RD.,,27713,NC,(919) 251-9690,35.93404; -78.922965
RISE BISCUITS & DONUTS,DURHAM,401 A FOSTER ST,,27701,NC,,35.9995394; -78.9017796
GOOD IS GOOD,DURHAM,1101 W CHAPEL HILL ST,,27701,NC,(919) 294-8393,35.9965963; -78.9158568
NOSH SAMMICHES,DURHAM,2812 ERWIN ROAD,,27705,NC,(919) 616-5656,36.0069674; -78.946862
STERLING,MORRISVILLE,237 SHAKESPEARE DRIVE,,27560,NC,,35.8901912; -78.8302422
HOME 2 SUITES,DURHAM,3305 WATKINS ROAD,,27707,NC,,35.953428; -78.990848
CIRCLE K STORE #8627,DURHAM,100 WOODCROFT PKWY,,27713,NC,(919) 544-6365,35.9238635; -78.9269937
LA PETITE ACADEMY,DURHAM,5115 HIGHGATE DRIVE,,27713,NC,(919) 544-0930,35.9110294; -78.945532
RED ICE CATERING,DURHAM,1101 W CHAPEL HILL ST,,27701,NC,(919) 937-8658,35.9965963; -78.9158568
HOLLOW ROCK SWIM CLUB,DURHAM,5100 ERWIN ROAD,,27707,NC,,35.985325; -78.9948394
MT ZION CHRISTIAN DAY CARE,DURHAM,3519 FAYETTEVILLE ST,,27707,NC,,35.9563817; -78.9066987
TREASURES OF JOY DAY CARE,DURHAM,3528 ARLINGTON PLACE,,27707,NC,,35.9552739; -78.9079664
FINSBURY AT DAVIS PARK,DURHAM,350 FINSBURY STREET,,27703,NC,,35.8822719; -78.8649346
OAK CITY FISH AND CHIPS1,DURHAM,1102 HOLLOWAY STREET,,27703,NC,(336) 587-1852,35.9942497; -78.8816627
GUANAJUATO DE DURHAM,DURHAM,2103 N ROXBORO ST,,27704,NC,(919) 323-2781,36.0175852; -78.890013
AMF DURHAM LANES,DURHAM,4508 CHAPEL HILL BLVD,,27707,NC,(919) 489-9154,35.9445639; -78.9738139
FIREHOUSE SUBS,DURHAM,5319 NEW HOPE COMMONS,,27707,NC,(919) 489-2900,35.9541387; -78.9939346
DOGSTAR TATTOO - DANIEL K. MACNEAL,DURHAM,807 E. MAIN ST.,,27701,NC,(919) 682-0000,35.9908126; -78.8902944
ACTON ACADEMY DURHAM,DURHAM,1201 W WOODCROFT PKWY,,27713,NC,(919) 522-3903,35.9216127; -78.9507036
DUKE CENTER FOR LIVING - SPA,DURHAM,3475 ERWIN ROAD,P O BOX 3022 DUMC,27710,NC,,36.0004918; -78.9554085
TRUE FLAVORS,DURHAM,5410 NC55 SUITE AJ,,27713,NC,(919) 316-7978,35.889646; -78.8971134
NORTHERN HIGH SCHOOL ACADEMY,DURHAM,117 TOM WILKINSON RD.,,27712,NC,(919) 560-3956,36.0938209; -78.9118029
OAK GROVE ACADEMICS,DURHAM,3810 WAKE FOREST HIGHWAY,,27703,NC,,35.979946; -78.819459
S&H FOODS MFU,DURHAM,3726 MAYFAIR STREET,WILL AND POPS,27707,NC,(919) 937-0645,35.968657; -78.953113
DUKE UNIVERSITY WEST UNION MAIN KITCHEN,DURHAM,406 CHAPEL DRIVE,,27708,NC,(919) 660-3900,36.001517; -78.9391734
BELLABROW MICROBLADING,DURHAM,3325 DURHAMCHAPEL HI,,27705,NC,(919) 260-3832,35.9714851; -78.9472771
O SO GOOD KURBSIDE KITCHEN,DURHAM,1102 HOLLOWAY ST,,27701,NC,(919) 251-9763,35.9942497; -78.8816627
RAFAELA'S INC,DURHAM,1101 W CHAPEL HILL STREET,,27701,NC,(919) 264-9027,35.9965963; -78.9158568
HOPE VALLEY BREWING CO,DURHAM,4810 HOPE VALLEY RD. SUITE 106,,27707,NC,(919) 294-4955,35.9213919; -78.958298
WAFFLE HOUSE,DURHAM,2100 N ROXBORO ST,,27704,NC,(770) 729-5868,36.0176269; -78.8896076
THE VILLAGES AT ELLIS CROSSING -,DURHAM,400 ADVANCEMENT AVE,,27703,NC,(919) 957-8822,35.9393151; -78.8511425
REALM AT PATTERSON PLACE APARTMENTS,DURHAM,3767 SOUTHWEST DURHAM BLVD.,,27707,NC,,35.9495195; -78.9814871
CAROLINA ARBORS - OUTDOOR POOL,DURHAM,357 CAROLINA ARBORS DR,,27703,NC,,35.9294347; -78.7842156
MANGUM SCHOOL LUNCHROOM,BAHAMA,9008 QUAIL ROOST ROAD,,27503,NC,(919) 560-3948,36.1698747; -78.8763816
TAQUERIA LA ESPERANZA  DC #3,DURHAM,1028 HOLLOWAY ST.,,27701,NC,(919) 949-0920,35.9944665; -78.8819836
SAM'S CLUB 4831 CLUB CAFE,DURHAM,4005 CHAPEL HILL BLVD,,27707,NC,(919) 489-8160,35.9703898; -78.9535795
"DEVEREUX RESIDENTIAL SERVICES, LLC",DURHAM,2 CALLAHAN DRIVE,,27703,NC,(919) 680-2749,36.0020049; -78.835583
DOUBLETREE SUITES BY HILTON RALEIGH DURHAM,DURHAM,2515 MERIDIAN PKWY,,27713,NC,(919) 361-4660,35.909563; -78.8971946
LEGACY AT MERIDIAN,DURHAM,1101 EXCHANGE PLACE,BLDGE 100,27913,NC,,35.9099785; -78.9121303
THE BOOT,DURHAM,2501 UNIVERSITY DRIVE SUITE 8,,27707,NC,(919) 294-8383,35.9743275; -78.9236424
HOOVER ROAD DHA,DURHAM,1126 HOOVER RD,,27703,NC,(919) 683-8596,35.979072; -78.869963
RESERVE AT ARRINGDON - POOL,MORRISVILLE,5710 ARRINGDON PARK DRIVE,,27560,NC,,35.8805744; -78.8285232
SEEDS,DURHAM,MRS. JENNIES PLACE,,27701,NC,,
CRESSETT CHRISTIAN ACADEMY,DURHAM,3707 GARRETT RD,,27707,NC,(919) 489-2655,35.9727825; -78.9738531
GORMAN CHRISTIAN ACADEMY,DURHAM,3315 E GEER ST,,27704,NC,(919) 688-2567,36.0440464; -78.8152888
QUENCHERS,DURHAM,118 TOWERVIEW DRIVE,WILSON CENTER (DUKE),27708,NC,,36.0016617; -78.9477635
BROOKDALE DURHAM,DURHAM,4434 BEN FRANKLIN BLVD,,27704,NC,(919) 479-9966,36.0467802; -78.8895483
NEW GREATER ZION,DURHAM,721 HOPKINS STREET,,27701,NC,(919) 683-3029,35.991958; -78.8887082
MCDOUGALD TERRACE,DURHAM,1101 LAWSON ST.,,27701,NC,(928) 380-8091,35.9747096; -78.89043
QUALITY EDUCATION INSTITUTE,DURHAM,800 ELMIRA ST,,27707,NC,(919) 680-6544,35.9624717; -78.9007169
CARVER POND APTS,DURHAM,4001 MERIWEATHER DR,,27704,NC,(919) 687-7070,36.0417072; -78.8908016
DPR - CAMP EXPLORE,DURHAM,401 N. DRIVER ST.,,27703,NC,(919) 475-8680,35.9896508; -78.8788866
GEORGE WATTS STARS,DURHAM,700 WATTS ST,,27701,NC,(919) 560-3947,36.0080181; -78.9111599
ART INSTITUTE OF RALEIGH DURHAM,DURHAM,410 BLACKWELL STREET,SUITE 200,27701,NC,(919) 317-3050,35.9918074; -78.9054343
ALOFT DURHAM DOWNTOWN FOOD SERVICE,DURHAM,345 BLACKWELL STREET,,27701,NC,(919) 402-5656,35.9933768; -78.9039493
CARTER COMMUNITY SCHOOL,DURHAM,1955 W CORNWALLIS ROAD,,27705,NC,(919) 797-2340,35.981389; -78.955171
KROGER R 366 SEAFOOD,DURHAM,1802 NORTH POINTE DR.,,27705,NC,(919) 220-5761,36.0297837; -78.9204786
TOSHIBA,DURHAM,3901 SOUTH MIAMI BLVD,,27703,NC,(919) 486-0462,35.9097558; -78.8513037
LUCKY CHICKEN,DURHAM,1720 GUESS RD,,27701,NC,(919) 338-4325,36.0195627; -78.9101242
ZAXBY'S RESTAURANT,DURHAM,920 MARTIN LUTHER KING JR PARKWAY,,27713,NC,(919) 248-2910,35.9466591; -78.9223427
DUKE DIET/FIT CTR WOMENS SPA,DURHAM,501 DOUGLAS STREET,,27705,NC,,36.0110096; -78.9416759
FOREST APTS,DURHAM,800 WHITE PINE DRIVE,,27709,NC,,36.0149824; -78.9660826
FOREST AT DUKE  THE,DURHAM,2701 PICKETT ROAD,,27705,NC,,35.9737738; -78.9483332
DOWNING CREEK SWIM CLUB,CHAPEL HILL,5100 DOWNING CREEK PARKWAY,,27504,NC,,35.9029695; -78.999698
AZALEA PARK APTS,DURHAM,2105 BOGARDE ST,,27705,NC,,36.045277; -78.932896
SOUTH SQUARE TOWNHOMES,DURHAM,3300 SHANNON RD,,27707,NC,,35.9626949; -78.9570266
RED MTN POOL,ROUGEMONT,13006 QUARTERHORSE RUN,,27572,NC,,36.224765; -78.914984
FOREST OAKS TOWNHOMES,DURHAM,316 MORREENE,,27705,NC,,36.019229; -78.95875
EXTENDED STAY OF AMERICA,DURHAM,2504 HWY 54 EAST,,27713,NC,,35.9001347; -78.8864859
HAMPTONS AT RTP,DURHAM,300 SEAFORTH DRIVE,,27713,NC,,35.9048093; -78.9027208
SATISFACTION RESTAURANT AND BAR,DURHAM,905 W MAIN ST STE 37,,27701,NC,(919) 682-7397,35.9998819; -78.910101
CHIPOTLE MEXICAN GRILL,DURHAM,2608 ERWIN ROAD # 17,,27705,NC,(919) 309-2901,36.0093049; -78.9448625
FOOD LION DELI  #57,DURHAM,5279 N ROXBORO ROAD,,27712,NC,(919) 477-0438,36.0765775; -78.9114595
ALPACA,DURHAM,302 DAVIDSON AVE,,27704,NC,(919) 361-0470,36.0181323; -78.888409
CHICK FIL A @ SOUTH SQUARE,DURHAM,4120 UNIVERSITY DRIVE,,27707,NC,(919) 419-6219,35.9649073; -78.9589895
MCDONALDS,DURHAM,102 MORGAN ST,,27701,NC,(919) 688-3070,35.998479; -78.8994984
BURTON SCHOOL,DURHAM,1500 MATHESON ST.,,27701,NC,(919) 560-3908,35.978984; -78.8876684
FOOD LION  MARKET 274,DURHAM,4711 HOPE VALLEY ROAD,,27707,NC,(919) 493-2352,35.9207272; -78.9573299
FOOD LION MARKET 234,DURHAM,2550 HOLLOWAY DR,,27703,NC,(919) 598-1433,35.9898862; -78.8567627
CAROL'S GARDEN INN,DURHAM,2412 S ALSTON AVE,,27713,NC,,35.9557878; -78.883536
MISSION TRIANGLE POINT APTS,DURHAM,600 DISCOVERY WAY,,27703,NC,,35.9369545; -78.8212488
CAMPUS CROSSINGS APTS,DURHAM,1400 E CORNWALLIS RD,,27707,NC,,35.9431082; -78.9030057
PARKWOOD VILLAGE,DURHAM,1314 SEATON RD,,27713,NC,,35.8939402; -78.9131734
SPRINGFIELD APTS,DURHAM,4600 UNIVERSITY DR,,27707,NC,(919) 493-4200,35.9581825; -78.968559
COLONIAL VILLAGE AT WOOD LAKE,DURHAM,1000 LYDIAS WAY,,27713,NC,,35.9171718; -78.9253252
MILLENNIUM HOTEL POOL,DURHAM,2800 CAMPUS WALK AVE,,27705,NC,,36.0111429; -78.953045
FOOD LION MEAT MARKET 2646,MORRISVILLE,2121 T W ALEXANDER DRIVE,,27560,NC,(919) 598-1932,35.9205016; -78.8108783
STAYBRIDGE SUITES BREAKFAST BA,DURHAM,3704 MT. MORIAH ROAD,,27707,NC,(919) 401-9800,35.9488226; -78.9952256
POMODORO,DURHAM,1811 HILLANDALE RD,,27705,NC,(919) 382-2915,36.0294843; -78.9366071
MAYFLOWER SEAFOOD  16,DURHAM,3742 CHAPEL HILL BLVD,,27707,NC,(919) 489-5506,35.9713262; -78.9467524
CHILDCARE NETWORK # 166,DURHAM,117 WOODCROFT PKWY,,27713,NC,(919) 489-8899,35.9234524; -78.9269204
FOOD LION LLC  DELI  #1343,DURHAM,2000 CHAPEL HILL RD,,27707,NC,(919) 402-0190,35.9874738; -78.9279668
KROGER R 337 DELI,DURHAM,5116 ROXBORO ROAD,,27712,NC,(919) 971-6263,36.0689173; -78.9077152
GORMAN EARLY LEARNING CENTER,DURHAM,3315 E GEER STREET,,27704,NC,(919) 682-0867,36.0440464; -78.8152888
LIBERTY BAPTIST DAY CARE,DURHAM,3864 GUESS RD,,27705,NC,(919) 471-5522,36.0635841; -78.9264967
KIDDIE KOLLEGE NO 2,DURHAM,1708 ATHENS STREET,,27707,NC,(919) 688-2821,35.9686491; -78.8914323
EMORY WOODS @ RTP,DURHAM,1701 EAST CORNWALLIS ROAD,,27713,NC,,35.9390655; -78.8957234
NCCU PEARSON CAFETERIA,DURHAM,606 E. LAWSON ST.,,27707,NC,(919) 530-6192,35.9764108; -78.9002042
GRILL 46,DURHAM,121 SHERRON RD.,,27703,NC,(919) 596-4644,35.9742205; -78.7930157
HOPE VALLEY COMMUNITY,DURHAM,3005 DIXON RD.,,27707,NC,,35.9670939; -78.9398339
SOUTHEAST COMMUNITY CENTER,DURHAM,2320 COOK RD.,,27713,NC,(919) 560-3972,35.9285504; -78.9237549
TOM INSCOE WHOLESALE MEATS,DURHAM,4130 S ALSTON ST,,27701,NC,(919) 544-1250,35.9168992; -78.8886559
FOOD LION  MARKET 939,DURHAM,4621 HILLSBOROUGH RD,,27705,NC,(919) 309-0385,36.0318768; -78.9792006
LAKE RIDGE HOA,DURHAM,5113 SKYLANE DRIVE,,27704,NC,,36.0612659; -78.7879774
CEDAR FORK BISTRO,DURHAM,151 TATUM DRIVE,,27703,NC,(919) 680-4968,35.8850437; -78.8453806
NORTH POINTE COMMONS,DURHAM,2335 S BROAD STREET,CABANA POOL,27704,NC,,36.0315413; -78.9124602
CEDARS OF CHAPEL HILL POOL,CHAPEL HILL,100 CEDAR CLUB CIRCLE,,27517,NC,,35.9067074; -79.0057432
SOUTHPOINT VILLAGE WADING POOL,DURHAM,100 VILLAGE CIRCLE WAY # 880,,27713,NC,,35.8993334; -78.9387728
SPRINGFIELD APTS,DURHAM,4600 UNIVERSITY DR,,27707,NC,,35.9581825; -78.968559
HILTON GARDEN INN SPA,DURHAM,7007 FAYETTEVILLE ROAD,,27713,NC,,35.9023263; -78.9386027
FOREST GLEN APTS,DURHAM,100 LYNN FOREST DRIVE,,27701,NC,,35.9367081; -78.9001796
CARPENTER FLETCHER ROAD GROUP HOME,DURHAM,1119 CARPENTER FLETCHER ROAD,,27713,NC,(919) 520-2503,35.916007; -78.901524
GREAT BEND GROUP HOME,DURHAM,2003 GREAT BEND DR,,27704,NC,(919) 688-2730,36.0210123; -78.847151
BRIGHTLEAF CLUB WADING,DURHAM,2003 COPPERLEAF PARKWAY,,27703,NC,(919) 251-8258,35.948119; -78.8228178
SUSHI LOVE,DURHAM,2812 ERWIN RD.,,27705,NC,(919) 309-2401,36.0069674; -78.946862
VILLAS AT CULP ARBOR,CHAPEL HILL,108 CULP HILL DRIVE,,27517,NC,,35.925015; -78.990694
SALADELIA,DURHAM,2424 ERWIN RD. SUITE 303,,27705,NC,(919) 416-1400,36.0093105; -78.9417128
NEW BEGINNINGS,DURHAM,2303 NC HIGHWAY 55,,27707,NC,(919) 688-7893,35.958269; -78.892244
SUBWAY,DURHAM,705 NINTH ST.,,27705,NC,(919) 286-3030,36.0081136; -78.9224399
SERENA,DURHAM,5311 SOUTH MIAMI BLVD.,,27703,NC,(919) 941-6380,35.8806773; -78.8494375
PIZZA INN,DURHAM,3906 N DUKE ST.,,27704,NC,(919) 294-6700,36.0534521; -78.9038821
MOE'S SOUTHWEST GRILL,DURHAM,5332 MCFARLAND DR.,,27707,NC,(919) 493-6637,35.9521523; -78.9930656
DAMAR COURT UNIT,DURHAM,1024-F SHERWOOD DR,,27705,NC,(919) 683-8596,36.0060658; -78.9532359
CAMP CALVARY,DURHAM,1309 HALLEY ST,,27707,NC,(919) 536-4201,35.9893979; -78.9197121
SANDY RIDGE ELEM. SCHOOL,DURHAM,1417 OLD OXFORD RD.,,27704,NC,(919) 560-2695,36.0569913; -78.8697388
LAGOS MEAT MARKET,DURHAM,"3438 HILLSBOROUGH RD, SUITE C",,27705,NC,(919) 383-5436,36.0202618; -78.9470788
KOKYU BBQ,DURHAM,4823 MEADOW DR SUIT 108,,27713,NC,(919) 699-4667,35.898608; -78.894478
DURHAM CONVENTION CENTER,DURHAM,301 W MORGAN STREET,,27701,NC,(919) 956-9404,35.9975142; -78.9023468
BERKELEY AT SOUTHPOINT,DURHAM,1400 LAUREL SPRINGS DR,,27713,NC,,35.9134746; -78.9310236
HOPE VALLEY FARMS SWIM AND RAC,DURHAM,4818 S ROXBORO ST,,27713,NC,,35.934; -78.938488
EDINBOROUGH AT THE PARK,DURHAM,200 EDINBOROUGH DR,,27709,NC,,35.8937048; -78.8466296
TAQUERIA MI PUEBLO,DURHAM,223 THE VILLAGE,,27703,NC,(919) 688-3461,35.9362652; -79.0285624
CHICK FIL A,DURHAM,3429 HILLSBOROUGH RD,,27705,NC,(919) 382-9399,36.0191742; -78.9470248
CHINO LATINO,DURHAM,2900 HOLLOWAY STREET,,27703,NC,(919) 682-0760,35.9872701; -78.847292
DUKE HOSPITAL NORTH,DURHAM,2100 ERWIN ROAD,,27706,NC,(919) 681-8176,36.0081147; -78.933279
LA SUPERIOR RESTAURANT,DURHAM,3325 N ROXBORO RD,,27704,NC,(919) 220-3588,36.0563119; -78.9033258
HARDSCRABBLE HOA,HILLSBOROUGH,102 HARDSCRABBLE,,27278,NC,,36.1221259; -78.9602431
MEWS APTS  THE,DURHAM,1800 WILLIAMSBURG RD,,27707,NC,,35.957898; -78.958206
SOUTHPOINT GLEN,DURHAM,5800 TATTERSALL DR,,27713,NC,,35.919215; -78.92804
JOHN AVERY BOYS & GIRLS,DURHAM,808 E. PETTIGREW ST.,,27701,NC,(919) 688-7315,35.9856879; -78.8936892
POLLOS CARBONERA CF-28385,DURHAM,308 S DRIVER STREET,,27703,NC,(919) 627-3558,35.9825874; -78.8779264
THIS LITTLE PIGGIE,DURHAM,1101 W CHAPEL HILL ST,,27701,NC,(919) 619-2113,35.9965963; -78.9158568
LOVING ARMS TENDER TOUCH(LATT) AFL HOME,DURHAM,1315 B RIPLEY STREET,,27707,NC,(919) 489-5819,35.987108; -78.923927
PIZZERIA TORO,DURHAM,105 E CHAPEL HILL ST,,27701,NC,(919) 908-6936,35.9971175; -78.9036011
THE COOKERY,DURHAM,1101 W CHAPEL HILL ST,,27701,NC,(919) 801-7290,35.9965963; -78.9158568
MCDONALD'S,DURHAM,3844 S ROXBORO ST,,27713,NC,(919) 484-0953,35.9479859; -78.9239608
L & D GROCERY & GRILL,DURHAM,2620 ANGIER AVE,,27703,NC,(919) 596-1735,35.9783508; -78.8711852
GLOBAL SCHOLAR ACADEMY,DURHAM,311 DOWD STREET,,27707,NC,(919) 682-5903,36.0003336; -78.8929846
FOXRIDGE APTS,DURHAM,200 FOXRIDGE CRESCENT,,27703,NC,,35.9304056; -78.8134331
SODEXOL CREE FITNESS - WOMEN,DURHAM,4425 SILICON DR,,27703,NC,,35.898998; -78.8395479
LOUDERMILK PASTRY KITCHEN,CHAPEL HILL,150 DUBOSE HOUSE LN,,27517,NC,(919) 913-2098,35.9103688; -79.0048429
FREEDOM HOUSE RECOVERY,DURHAM,601 CARLTON STREET,,27701,NC,(919) 425-5474,35.9955541; -78.8919894
SCI- TRIANGLE HOUSE I,DURHAM,1406 TYONEK DRIVE,,27703,NC,(919) 596-4168,35.952755; -78.8412929
HILLCREST CONVALESCENT CENTER,DURHAM,1417 W PETTIGREW ST,,27705,NC,(919) 286-7705,36.00433; -78.919329
SPICE & CURRY,DURHAM,2105 NC HWY 54 SUITE E,,27713,NC,(919) 544-7555,35.9023528; -78.8948715
"SECURING RESOURCES FOR CONSUMERS, INC.",DURHAM,1809 COLLIER DR,,27707,NC,(919) 251-8337,35.9599168; -78.8820312
W G PEARSON ELEMENTARY COMMUNITY ED.,DURHAM,3501 FAYETTEVILLE,,27707,NC,(919) 287-5689,35.9582719; -78.9074315
EL DORADO'S #6,DURHAM,4900 HWY 55,,27713,NC,(919) 361-0302,35.8992247; -78.8985816
DUKE FACULTY CLUB - LAP #1,DURHAM,HWY 751 AND SCIENCE DR,,27708,NC,,35.9950162; -78.947039
BAINBRIDGE IN THE PARK APTS,DURHAM,2800 BAINBRIDGE DR,,27713,NC,,35.9382025; -78.8973604
WOODLAKE HOA,DURHAM,30 LAKESHORE DR,,27713,NC,(919) 403-1400,35.9214667; -78.9247949
LA QUINTA INN FOOD SERV  184,DURHAM,1910 WESTPARK DRIVE,,27713,NC,(919) 484-1422,35.9080658; -78.8912723
ELLISON REST HOME IFS,DURHAM,100 ELLISON DR,,27713,NC,(919) 544-3714,35.8968942; -78.9394702
STUDENT U - DURHAM ACADEMY,DURHAM,3116 ACADEMY RD.,,27705,NC,(704) 796-8483,35.9691187; -78.9454082
LEARN & PLAY,DURHAM,4821 BARBEE RD.,,27713,NC,,35.934225; -78.907484
ZINBURGER,DURHAM,8030 RENNNAISSANCE PARKWAY,SUITE 905,27713,NC,(919) 293-1726,35.9048455; -78.9448592
CREE CAFETERIA,DURHAM,4425 SILICON DRIVE,,27703,NC,(919) 407-5631,35.898998; -78.8395479
CARTER COMMUNITY,DURHAM,1305 W. CLUB BLVD.,,27705,NC,,36.016338; -78.913897
TAQUERIA DON BERCERRA,DURHAM,2301 N. ROXBORO RD.,,27704,NC,(919) 220-0206,36.0199791; -78.8903398
CORNWALLIS DHA,DURHAM,3007-7 WEAVER ST,,27701,NC,(919) 683-8596,35.9634176; -78.9146655
ROCHELLE MANOR,DURHAM,2819 ROCHELLE ST,,27703,NC,,35.9905166; -78.8484735
YMCA DOWNTOWN TRAINING,DURHAM,215 MORGAN ST,,27701,NC,(919) 677-9622,35.9981189; -78.9006895
YMCA DOWNTOWN,DURHAM,218 MORGAN STREET,,27701,NC,,35.9985039; -78.9010921
THE HAMPTONS AT RESEARCH PK,DURHAM,300 SEAFORTH DR,,27713,NC,,35.9048093; -78.9027208
CHANGING PLACES,DURHAM,725 HANSON ROAD,,27713,NC,(919) 248-0650,35.939672; -78.911748
SODEXOL CREE FITNESS - MEN,DURHAM,4425 SILICON DR,,27703,NC,,35.898998; -78.8395479
EDEN SPRING LIVING CENTER,DURHAM,3812 BOOKER ST,,27713,NC,(919) 544-0874,35.95076; -78.906744
ELLISON REST HOME,DURHAM,100 ELLISON DRIVE,,27713,NC,(919) 544-3714,35.8968942; -78.9394702
BRIGHT HORIZONS AT NORTH DURHAM,DURHAM,4205 CAPITOL BLVD,,27704,NC,(919) 477-9296,36.0490059; -78.898257
BROWN'S EARLY LEARNING SCHOOL,DURHAM,2724 ATLANTIC ST,,27707,NC,,35.966712; -78.906659
BEER DURHAM,DURHAM,404 HUNT STREET,,27701,NC,(919) 680-0770,36.00039; -78.903111
THE VEGAN LOVER,DURHAM,1101 W CHAPEL HILL ST,,27701,NC,(919) 322-8857,35.9965963; -78.9158568
GUCKENHEIMER  AT AICPA,DURHAM,220 LEIGH FARM ROAD,,27707,NC,(919) 402-4500,35.9167901; -78.9825369
DURHAM REGENT,DURHAM,3007 PICKETT ROAD,,27705,NC,(919) 490-4919,35.9735299; -78.961789
SUPREME FAMILY CARE HOME LLC,DURHAM,1120 BENNING STREET,,27703,NC,(919) 730-9917,36.002612; -78.867858
HWY 55,DURHAM,1517 GLENN SCHOOL ROAD,,27704,NC,(919) 688-2112,36.0271789; -78.842025
HILLS AT SOUTHPOINT,DURHAM,508 SOUTH BEND DRIVE,,27713,NC,,35.884681; -78.945198
CHANGING LIVES RESIDENTIAL CARE,DURHAM,1115 CHALK LEVEL RD,,27704,NC,(919) 730-9917,36.050937; -78.917332
DURHAM MEN'S HALFWAY HOUSE,DURHAM,529 HOLLOWAY STREET,,27701,NC,(919) 425-5472,35.994819; -78.89106
ELSIE-DORIS FAMILY CARE HOME,DURHAM,306 CHERRYGROVE STREET,,27703,NC,(919) 399-1721,35.9881793; -78.8791733
SUBWAY,DURHAM,3600 HILLSBOROUGH RD,,27705,NC,(919) 383-9219,36.0224663; -78.9535979
NANA'S,DURHAM,2514 UNIVRSITY DR,,27707,NC,(919) 493-8545,35.9741086; -78.9249904
WATTS STREET GROUP HOME,DURHAM,506 WATTS STREET,,27701,NC,(919) 688-8641,36.0060355; -78.9108993
LA PLAZA LATINA TORTILLERIA,DURHAM,3801 WAKE FOREST HYW SUITE 106 AND 108,,27703,NC,(919) 598-4605,35.9815164; -78.8201474
FREEMAN  CENTER FOR JEWISH LIF,DURHAM,1415 FABER STREET,,27708,NC,,36.0008316; -78.9221591
CLUB BLVD SCHOOL LUNCHROOM,DURHAM,400 CLUB BLVD,,27704,NC,(919) 560-3496,36.0195998; -78.8879234
TONALI RESTAURANT,DURHAM,3642 SHANNON RD,SUITE 1,27707,NC,(919) 489-8000,35.9570051; -78.956091
NEW CHINA,DURHAM,121 SHERRON ROAD,SUITE 105,27703,NC,(919) 806-3354,35.9742205; -78.7930157
KINDRED HEALTH CARE-ROSE MANOR FS,DURHAM,4230 N ROXBORO RD,,27704,NC,(919) 477-9805,36.0553803; -78.9033564
BOB EVANS FARM REST #321,DURHAM,5419 CHAPEL HILL BLVD,,27707,NC,(919) 403-6766,35.9446221; -78.9927684
PURPOSELY DRIVEN BY HOPE,DURHAM,2720 WEDGEDALE AVE,,27703,NC,(919) 943-1085,35.985707; -78.85095
CARLIE C'S IGA (DELI),DURHAM,3729 WAKE FOREST HWY.,,27703,NC,(919) 596-9221,35.9825575; -78.8216547
KESTRAL HEIGHTS YMCA,DURHAM,4700 S ALSTON AVE,,27713,NC,(919) 416-1736,35.8981655; -78.8900167
LA SUPERIOR DELI / HOT FOOD,DURHAM,3325 N ROXBORO RD,,27704,NC,(919) 220-3588,36.0563119; -78.9033258
JIMMY JOHN'S,DURHAM,701 NINTH STREET,,27705,NC,(919) 286-5383,36.0075266; -78.9223915
HOPE ELEMENTARY,DURHAM,3023 UNIVERSITY DRIVE,,27707,NC,(919) 560-3927,35.967335; -78.937935
WAFFLE HOUSE,DURHAM,1607 TW ALEXANDER DRIVE,,27703,NC,(919) 596-7220,35.9241596; -78.845276
VICTORY CATHEDRAL WORSHIP CENTER,DURHAM,124 EAST EDGEWOOD DR,,27704,NC,(919) 220-9020,36.027612; -78.890614
LANDEEINGDAM DOSLAND,DURHAM,1915 CROWELL ST,,27707,NC,(919) 740-3127,35.9625927; -78.8827605
RN HARRIS SAC CLUB,DURHAM,1520 COOPER ST,,27703,NC,(919) 560-3969,35.9714559; -78.8838096
HOLT SAC CLUB,DURHAM,4019 HOLT SCHOOL RD,,27704,NC,(919) 560-3928,36.0564469; -78.9074309
HILLANDALE ELEMENTARY SCHOOL,DURHAM,2730 HILLANDALE RD,,27705,NC,(919) 560-3465,36.052487; -78.932664
PARKWOOD SCHOOL,DURHAM,5207 REVERE,,27713,NC,(919) 560-3962,35.8914339; -78.905692
ARROWOOD SUITES RTP POOL,DURHAM,4603 CENTRAL RUN DRIVE,,27703,NC,,35.8870139; -78.8486237
GRANDALE,DURHAM,5005 LYON FARM DRIVE,,27713,NC,,35.8855979; -78.91633
WALLTOWN REC CENTER,DURHAM,1308 WEST CLUB BLVD,,27705,NC,(919) 560-4296,36.0176386; -78.9141263
TOOTIE'S MOBILE KITCHEN DC #55,DURHAM,TOOTIES GRILL & CAFE 2108 ANGIER AVE,,27701,NC,(919) 641-2177,35.9783533; -78.8711897
